Event,SNR,Run 0,Run A
GW150914,26.0,,
GW151012,10.0,,
GW151226,13.1,ERROR: Missing bilby data,ERROR: Missing bilby data
GW170104,13.8,,
GW170608,15.4,4,ERROR: GWOSC data unavailable
GW170729,10.8,,
GW170809,12.8,,
GW170814,17.7,,
GW170818,12.0,,
GW170823,12.2,,
GW190408_181802,14.6,,
GW190412,19.8,,
GW190413_052954,9.0,3,
GW190413_134308,10.6,4,
GW190421_213856,10.7,3,
GW190503_185404,12.2,,
GW190512_180714,12.7,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190513_205428,12.5,,
GW190517_055101,10.8,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190519_153544,15.9,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190521,14.3,3,3
GW190521_074359,25.9,4,4
GW190527_092055,8.0,,
GW190602_175927,13.2,,
GW190620_030421,12.1,,4
GW190630_185205,16.4,4,
GW190701_203306,11.2,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190706_222641,13.4,,
GW190707_093326,13.1,,
GW190708_232457,13.4,,
GW190719_215514,7.9,,
GW190720_000836,10.9,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190725_174728,9.1,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190727_060333,11.7,3,4
GW190728_064510,13.1,,ERROR: PSD data contains NaNs
GW190731_140936,8.8,,
GW190803_022701,9.3,,
GW190805_211137,8.1,,
GW190814,25.3,ERROR: JAX internal error,ERROR: PSD data contains NaNs
GW190828_063405,16.5,,
GW190828_065509,10.2,,
GW190910_112807,14.5,4,
GW190915_235702,13.1,ERROR: Missing bilby data,ERROR: Missing bilby data
GW190917_114630,8.3,ERROR: JAX internal error,ERROR: Timeout error
GW190924_021846,12.0,ERROR: JAX internal error,ERROR: Timeout error
GW190925_232845,9.7,,
GW190929_012149,9.7,,
GW190930_133541,9.7,,
GW191103_012549,8.9,,
GW191105_143521,9.7,ERROR: Missing bilby data,ERROR: Missing bilby data
GW191109_010717,17.3,ERROR: Missing bilby data,ERROR: Missing bilby data
GW191127_050227,9.2,2,2
GW191129_134029,13.1,,
GW191204_171526,17.4,,
GW191215_223052,11.2,2,
GW191216_213338,18.6,,
GW191222_033537,12.5,,
GW191230_180458,10.4,,2
GW200112_155838,19.8,,
GW200128_022011,10.6,,
GW200129_065458,26.8,,
GW200202_154313,10.8,,
GW200208_130117,10.8,,
GW200209_085452,9.6,,
GW200216_220804,8.1,,
GW200219_094415,10.7,2,2
GW200224_222234,20.0,,
GW200225_060421,12.5,,
GW200302_015811,10.8,,
GW200311_115853,17.8,,
GW200316_215756,10.3,ERROR: Missing bilby data,ERROR: Missing bilby data
